"","lemma","tag","Total"
"9191","lemma=volo1"," postag=v--pna---",4
"9192","lemma=volo1"," postag=v--rna---",2
"9193","lemma=volo1"," postag=v-pppamb-",1
"9194","lemma=volo1"," postag=v-sppamn-",1
"9195","lemma=volo1"," postag=v1sisa---",1
"9196","lemma=volo1"," postag=v1spia---",8
"9197","lemma=volo1"," postag=v1spsa---",3
"9198","lemma=volo1"," postag=v1sria---",2
"9199","lemma=volo1"," postag=v2ppia---",4
"9200","lemma=volo1"," postag=v2sfia---",4
"9201","lemma=volo1"," postag=v2slsa---",1
"9202","lemma=volo1"," postag=v2spia---",7
"9203","lemma=volo1"," postag=v2spsa---",3
"9204","lemma=volo1"," postag=v2sria---",2
"9205","lemma=volo1"," postag=v2srsa---",2
"9206","lemma=volo1"," postag=v3pfia---",4
"9207","lemma=volo1"," postag=v3piia---",1
"9208","lemma=volo1"," postag=v3pisa---",5
"9209","lemma=volo1"," postag=v3ppia---",7
"9210","lemma=volo1"," postag=v3ppsa---",2
"9211","lemma=volo1"," postag=v3pria---",1
"9212","lemma=volo1"," postag=v3prsa---",1
"9213","lemma=volo1"," postag=v3sfia---",1
"9214","lemma=volo1"," postag=v3siia---",2
"9215","lemma=volo1"," postag=v3sisa---",10
"9216","lemma=volo1"," postag=v3slsa---",1
"9217","lemma=volo1"," postag=v3spia---",9
"9218","lemma=volo1"," postag=v3spsa---",6
"9219","lemma=volo1"," postag=v3sria---",7
"9220","lemma=volo1"," postag=v3srsa---",3
"9221","lemma=volo1"," postag=v3stia---",3
